Datum	Trend
2022-05-01	0.53
2022-05-02	0.37
2022-05-03	0.38
2022-05-04	0.46
2022-05-05	0.44
2022-05-06	0.31
2022-05-07	0.5
2022-05-08	0.49
2022-05-09	0.35
2022-05-10	0.24
2022-05-11	0.35
2022-05-12	0.21
2022-05-13	0.48
2022-05-14	0.61
2022-05-15	0.66
2022-05-16	0.44
2022-05-17	0.42
2022-05-18	0.48
2022-05-19	0.4
2022-05-20	0.44
2022-05-21	0.75
2022-05-22	0.68
2022-05-23	0.56
2022-05-24	0.41
2022-05-25	0.42
2022-05-26	0.49
2022-05-27	0.56
2022-05-28	0.49
2022-05-29	0.46
2022-05-30	0.2
2022-05-31	0.21
2022-06-01	0.35
2022-06-02	0.44
2022-06-03	0.52
2022-06-04	0.7
2022-06-05	0.68
2022-06-06	0.67
2022-06-07	0.44
2022-06-08	0.26
2022-06-09	0.24
2022-06-10	0.38
2022-06-11	0.66
2022-06-12	0.69
2022-06-13	0.37
2022-06-14	0.29
2022-06-15	0.35
2022-06-16	0.41
2022-06-17	0.43
2022-06-18	0.55
2022-06-19	0.53
2022-06-20	0.33
2022-06-21	0.32
2022-06-22	0.27
2022-06-23	0.32
2022-06-24	0.3
2022-06-25	0.39
2022-06-26	0.34
2022-06-27	0.21
2022-06-28	0.18
2022-06-29	0.15
2022-06-30	0.22
2022-07-01	0.29
2022-07-02	0.39
2022-07-03	0.42
2022-07-04	0.32
2022-07-05	0.31
2022-07-06	0.27
2022-07-07	0.26
2022-07-08	0.26
2022-07-09	0.43
2022-07-10	0.46
2022-07-11	0.09
2022-07-12	-0.06
2022-07-13	0.01
2022-07-14	0.08
2022-07-15	0.05
2022-07-16	0.19
2022-07-17	0.25
2022-07-18	-0.01
2022-07-19	0.06
2022-07-20	0.12
2022-07-21	0.09
2022-07-22	0.21
2022-07-23	0.37
2022-07-24	0.46
2022-07-25	0.41
2022-07-26	0.4
2022-07-27	0.3
2022-07-28	0.34
2022-07-29	0.33
2022-07-30	0.43
2022-07-31	0.51
2022-08-01	0.4
2022-08-02	0.5
2022-08-03	0.47
2022-08-04	0.43
2022-08-05	0.51
2022-08-06	0.66
2022-08-07	0.66
2022-08-08	0.54
2022-08-09	0.59
2022-08-10	0.62
2022-08-11	0.54
2022-08-12	0.58
2022-08-13	0.7
2022-08-14	0.7
2022-08-15	0.6
2022-08-16	0.48
2022-08-17	0.41
2022-08-18	0.49
2022-08-19	0.47
2022-08-20	0.63
2022-08-21	0.61
2022-08-22	0.51
2022-08-23	0.44
2022-08-24	0.41
2022-08-25	0.5
2022-08-26	0.43
2022-08-27	0.55
2022-08-28	0.52
2022-08-29	0.39
2022-08-30	0.36
2022-08-31	0.25
2022-09-01	0.24
2022-09-02	0.49
2022-09-03	0.54
2022-09-04	0.55
2022-09-05	0.4
2022-09-06	0.34
2022-09-07	0.1
2022-09-08	0.28
2022-09-09	0.32
2022-09-10	0.38
2022-09-11	0.37
2022-09-12	0.16
2022-09-13	0.16
2022-09-14	0.15
2022-09-15	0.21
2022-09-16	0.3
2022-09-17	0.37
2022-09-18	0.32
2022-09-19	0.23
2022-09-20	0.12
2022-09-21	0.12
2022-09-22	0.15
2022-09-23	0.15
2022-09-24	0.27
2022-09-25	0.31
2022-09-26	0.12
2022-09-27	0.07
2022-09-28	0.05
2022-09-29	0.08
2022-09-30	0.15
2022-10-01	0.32
2022-10-02	0.39
2022-10-03	0.36
2022-10-04	0.22
2022-10-05	0.28
2022-10-06	0.28
2022-10-07	0.42
2022-10-08	0.44
2022-10-09	0.36
2022-10-10	0.23
2022-10-11	0.28
2022-10-12	0.17
2022-10-13	0.12
2022-10-14	0.21
2022-10-15	0.36
2022-10-16	0.4
2022-10-17	0.24
2022-10-18	0.2
2022-10-19	0.06
2022-10-20	0.07
2022-10-21	0.08
2022-10-22	0.35
2022-10-23	0.36
2022-10-24	0.19
2022-10-25	0.04
2022-10-26	0.07
2022-10-27	0.14
2022-10-28	
