Land,Lat,Long
Iceland,64.9631,-19.0208
Finland,64,26
Sweden,63,16
Norway,60.472,8.4689
Russia,60,90
Estonia,58.5953,25.0136
Latvia,56.8796,24.6032
Denmark,56.2639,9.5018
Canada,56,-109
United Kingdom,55.3781,-3.436
Lithuania,55.1694,23.8813
Belarus,53.7098,27.9534
Ireland,53.1424,-7.6921
Netherlands,52.1326,5.2913
Poland,51.9194,19.1451
Germany,51,9
Belgium,50.8333,4
Czechia,49.8175,15.473
Luxembourg,49.8153,6.1296
Slovakia,48.669,19.699
Ukraine,48.3794,31.1656
Kazakhstan,48.0196,66.9237
Austria,47.5162,14.5501
Moldova,47.4116,28.3699
Hungary,47.1625,19.5033
Liechtenstein,47.14,9.55
Mongolia,46.8625,103.8467
Switzerland,46.8182,8.2275
France,46.2276,2.2137
Slovenia,46.1512,14.9955
Romania,45.9432,24.9668
Croatia,45.1,15.2
Serbia,44.0165,21.0059
San Marino,43.9424,12.4578
Bosnia and Herzegovina,43.9159,17.6791
Monaco,43.7333,7.4167
Italy,43,12
Bulgaria,42.7339,25.4858
Kosovo,42.602636,20.902977
Andorra,42.5063,1.5218
Montenegro,42.5,19.3
Georgia,42.3154,43.3569
Holy See,41.9029,12.4534
North Macedonia,41.6086,21.7453
Uzbekistan,41.3775,64.5853
Kyrgyzstan,41.2044,74.7661
Albania,41.1533,20.1683
Azerbaijan,40.1431,47.5769
Armenia,40.0691,45.0382
Spain,40,-4
Portugal,39.3999,-8.2245
Greece,39.0742,21.8243
Turkey,38.9637,35.2433
US,37.0902,-95.7129
Japan,36,138
"Korea, South",36,128
Malta,35.9375,14.3754
Cyprus,35.1264,33.4299
Syria,34.802075,38.996815
Tunisia,34,9
Lebanon,33.8547,35.8623
Afghanistan,33,65
Iraq,33,44
China,32.8,103.083333
Iran,32,53
West Bank and Gaza,31.9522,35.2332
Morocco,31.7917,-7.0926
Jordan,31.24,36.51
Israel,31,35
Pakistan,30.3753,69.3451
Kuwait,29.5,47.75
Nepal,28.1667,84.25
Algeria,28.0339,1.6596
Bhutan,27.5142,90.4336
Libya,26.3351,17.228331
Bahrain,26.0275,50.55
Egypt,26,30
Qatar,25.3548,51.1839
Bahamas,25.0343,-77.3963
Saudi Arabia,24,45
United Arab Emirates,24,54
Taiwan*,23.7,121
Bangladesh,23.685,90.3563
Mexico,23.6345,-102.5528
Hong Kong,22.3,114.2
Macau,22.1667,113.55
Cuba,22,-80
Burma,21.9162,95.956
Mauritania,21.0079,10.9408
India,21,78
Oman,21,57
Laos,19.85627,102.495496
Haiti,18.9712,-72.2852
Dominican Republic,18.7357,-70.1627
Jamaica,18.1096,-77.2975
Niger,17.6078,8.0817
Mali,17.570692,-3.996166
Saint Kitts and Nevis,17.357822,-62.782998
Antigua and Barbuda,17.0608,-61.7964
Cabo Verde,16.5388,-23.0418
Vietnam,16,108
Guatemala,15.7835,-90.2308
Chad,15.4542,18.7322
Dominica,15.415,-61.371
Honduras,15.2,-86.2419
Eritrea,15.1794,39.7823
Thailand,15,101
Senegal,14.4974,-14.4524
Saint Lucia,13.9094,-60.9789
El Salvador,13.7942,-88.8965
Gambia,13.4432,-15.3101
Barbados,13.1939,-59.5432
Belize,13.1939,-59.5432
Philippines,13,122
Saint Vincent and the Grenadines,12.9843,-61.2872
Nicaragua,12.8654,-85.2072
Sudan,12.8628,30.2176
Burkina Faso,12.2383,-1.5616
Grenada,12.1165,-61.679
Djibouti,11.8251,42.5903
Guinea-Bissau,11.8037,-15.1804
Cambodia,11.55,104.9167
Trinidad and Tobago,10.6918,-61.2225
Guinea,9.9456,-9.6966
Costa Rica,9.7489,-83.7534
Benin,9.3077,2.3158
Ethiopia,9.145,40.4897
Nigeria,9.082,8.6753
Togo,8.6195,0.8248
Panama,8.538,-80.7821
Sierra Leone,8.460555,-11.779889
Ghana,7.9465,-1.0232
Cote d'Ivoire,7.54,-5.5471
Sri Lanka,7,81
Central African Republic,6.6111,20.9394
Liberia,6.4281,-9.4295
Venezuela,6.4238,-66.5897
Somalia,5.1521,46.1996
Guyana,5,-58.75
Colombia,4.5709,-74.2973
Brunei,4.5353,114.7277
Suriname,3.9193,-56.0278
Cameroon,3.848,11.5021
Maldives,3.2028,73.2207
Malaysia,2.5,112.5
Equatorial Guinea,1.5,10
Singapore,1.2833,103.8333
Uganda,1,32
Kenya,-0.0236,37.9062
Indonesia,-0.7893,113.9213
Gabon,-0.8037,11.6094
Ecuador,-1.8312,-78.1834
Rwanda,-1.9403,29.8739
Burundi,-3.3731,29.9189
Congo (Brazzaville),-4.0383,21.7587
Congo (Kinshasa),-4.0383,21.7587
Seychelles,-4.6796,55.492
Papua New Guinea,-6.315,143.9555
Tanzania,-6.369,34.8888
Timor-Leste,-8.874217,125.727539
Peru,-9.19,-75.0152
Angola,-11.2027,17.8739
Brazil,-14.235,-51.9253
Zambia,-15.4167,28.2833
Bolivia,-16.2902,-63.5887
Fiji,-17.7134,178.065
Mozambique,-18.665695,35.529562
Madagascar,-18.7669,46.8691
Zimbabwe,-20,30
Mauritius,-20.2,57.5
Botswana,-22.3285,24.6849
Namibia,-22.9576,18.4904
Paraguay,-23.4425,-58.4438
Australia,-25,135.00
Eswatini,-26.5225,31.4659
South Africa,-30.5595,22.9375
Uruguay,-32.5228,-55.7658
Chile,-35.6751,-71.543
Argentina,-38.4161,-63.6167
New Zealand,-40.9006,174.886
